Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
9975,1.51,Fair,G,VS1,60.8,66.0,7.35,7.25,4.44,12948
9641,0.31,Ideal,H,IF,62.1,54.0,4.37,4.33,2.7,1046
21107,1.3,Ideal,H,VS2,62.8,56.0,7.03,6.93,4.38,8124
3038,0.38,Ideal,F,VS1,62.0,54.0,4.65,4.68,2.89,865
5273,1.01,Ideal,G,SI2,61.5,57.0,6.5,6.42,3.97,4299
18728,0.53,Ideal,E,VS2,62.0,56.0,5.29,5.2,3.25,1956
22847,0.4,Very Good,F,VVS2,63.0,57.0,4.63,4.7,2.94,963
8346,0.33,Ideal,G,IF,61.6,55.0,4.51,4.48,2.77,1052
3550,0.5,Premium,D,VS2,61.4,59.0,5.11,5.15,3.15,1752
9524,1.01,Fair,D,SI1,64.7,57.0,6.33,6.25,4.07,5430
20702,0.6,Fair,G,SI1,65.7,55.0,5.31,5.23,3.46,1197
19508,2.0,Premium,E,SI2,58.1,60.0,8.32,8.25,4.81,15984
14586,1.2,Ideal,I,VS1,62.8,55.0,6.79,6.75,4.25,6774
26368,0.7,Good,H,SI2,64.2,58.0,5.56,5.6,3.58,1697
15319,1.5,Very Good,D,VS2,63.0,59.0,7.24,7.3,4.58,13372
9027,0.5,Very Good,F,VS2,60.8,61.0,5.04,5.09,3.08,1357
20096,0.5,Premium,G,VS1,59.8,58.0,5.19,5.15,3.09,1746
18528,0.74,Ideal,E,VS2,62.6,56.0,5.73,5.81,3.61,3036
23915,0.7,Fair,G,I1,68.3,56.0,5.52,5.4,3.73,978
21212,0.51,Premium,H,VS2,60.9,60.0,5.19,5.16,3.15,1202
973,0.41,Premium,E,SI2,62.9,58.0,4.75,4.72,2.98,876
5903,1.21,Premium,H,SI2,61.1,60.0,6.91,6.86,4.21,5082
8358,1.58,Premium,G,VS1,62.1,59.0,7.43,7.46,4.62,12530
14294,1.0,Good,H,SI1,63.4,56.0,6.34,6.37,4.03,4389
22380,0.32,Good,D,SI1,,56.0,4.37,4.34,2.77,756
13767,0.9,Good,E,SI2,62.0,63.0,6.09,6.14,3.79,3218
18930,0.31,Very Good,F,VS2,58.3,61.0,4.44,4.48,2.6,583
4033,0.72,Ideal,I,VS2,61.1,56.0,5.76,5.82,3.54,2337
13695,1.06,Premium,I,VS1,62.4,55.0,6.57,6.5,4.08,4920
26853,0.42,Ideal,D,VS2,61.2,56.0,4.8,4.84,2.95,1031
5242,0.39,Very Good,I,VS1,63.1,58.0,4.68,4.61,2.93,921
8170,1.0,Premium,F,SI1,61.2,58.0,6.44,6.4,3.93,5292
10455,0.35,Premium,D,SI1,62.1,58.0,4.54,4.51,2.81,827
22097,0.37,Premium,G,SI1,60.0,57.0,4.7,4.67,2.81,708
5427,0.4,Very Good,G,SI1,62.6,55.3,4.69,4.71,2.93,795
13359,0.9,Fair,F,SI2,69.0,59.0,5.89,5.82,4.04,2536
